T1,T2,char
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,32
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,a
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,b
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
0.00E+00,0.00E+00,c
